id,region_id,name,description
1,1,Taipei 101,Skyscraper views & luxury mall
2,1,Jiufen,Hillside lantern alleys & tea houses
3,1,Yehliu Geopark,Otherworldly sea-eroded rock formations
4,2,Sun Moon Lake,Scenic cycling & boat tours
5,2,Taichung,"Museums, parks & creative parks"
6,2,Alishan,Tea terraces & sunrise sea of clouds
7,3,Tainan,Taiwan's oldest city & street eats
8,3,Kaohsiung,Pier-2 Art Center & harbor views
9,3,Kenting,White-sand beaches & water sports
10,4,Taroko Gorge,Marble canyons & sky-high trails
11,4,Hualien,Pacific coastlines & rice paddies
12,4,Taitung,Hot springs & laid-back festivals
